,NAMOBJ,ketinggian(m)
182,Kekiling,76.64660897564903
183,Kota Dalam,57.89676665368134
184,Malangsari,30.377623914715905
185,Kelau,56.69953775038521
186,Kelawi,114.19607710973308
187,Mandah,68.2830062741957
188,Mandala Sari,14.48433734939759
189,Karya Tunggal,104.79352865739371
190,Kota Guring,478.13879957127546
191,Kemukus,29.18237005185279
192,Kerinjing,206.16213544241225
193,Kecapi,254.26714801444044
194,Kertosari,39.82154961400866
195,Kesugihan,81.43480603448276
196,Krawang Sari,89.63970276008493
197,Lebung Nala,13.130434782608695
198,Lebung Sari,41.96523373267559
199,Legundi,29.033710614866933
200,Ketapang,20.976159793814432
201,Kuala Sekampung,2.223628163367577
202,Kedaton,27.19404827207899
203,Kunjir,340.8489814672997
204,Lematang,93.50314526275041
205,Kedaung,14.534197842552215
206,Kuripan,52.273132664437014
207,Klaten,56.52442211055276
208,Kampung Baru,191.69583333333333
209,Karya Mulya Sari,26.771589423946917
210,Gunung Terang,15.93208430913349
211,Jati Baru,89.96744316587146
212,Jati Indah,93.7824002739257
213,Jati Mulyo,89.68214702450409
214,Karang Anyar,81.79121578612349
215,Karang Jaya,168.6274699153172
216,Karang Pucung,26.336030750556343
217,Haduyang,75.97919010123735
218,Jondong,455.2145512480085
219,Karang Raja,115.01583040177745
220,Karang Rejo,48.47710817717206
221,Hajimena,118.89919612096466
222,Karang Sari,100.76720841300191
223,Karang Sari,56.603434343434344
224,Hara Banjar Manis,32.132731463695734
225,Kali Sari,104.13614944463144
226,Kaliasin,118.78798297314997
227,Hargo Pancuran,110.45335085413929
228,Kalirejo,14.969150025601639
229,Hatta,151.37993421052633
230,Purwosari,54.095656417764765
231,Pisang,81.75395778364116
232,Purwotani,36.23924567654471
233,Pardasuka,130.68660506835252
234,Pemanggilan,118.706636994371
235,Pematang,276.8984321745058
236,Pematang Baru,19.544808617923447
237,Rajabasa,375.6001914486279
238,Pematang Pasir,5.0
239,Puji Rahayu,38.39063144861742
240,Penengahan,80.56241956241956
241,Pulau Jaya,4.24250859669232
242,Pulau Tengah,2.7024925680311
243,Palas Aji,10.687990196078431
244,Palas Jaya,3.075303782303611
245,Palas Pasemah,6.5984902099551785
246,Palembapang,104.07167585587896
247,Pamulihan,27.6898692086012
248,Pasuruan,89.56493902439024
249,Pauh Tanjung Iman,318.4606826801517
250,Purwodadi,19.475135923617557
251,Panca Tunggal,83.54705968189114
252,Pancasila,69.51419273187489
253,Purwodadi Dalam,77.04485141379456
254,Purwodadi Simpang,60.55335673213352
255,Rawi,88.38717483363581
